Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Azerbaijan,AZE,44841241661.8096,49280524525.944,53932071972.9041,59437619352.7793,64937858840.7126,83095482987.1161,111763424617.671,139704280606.197,154735033506.153,169119765061.013,177658528160.298,177836186933.316,181686766253.349,192242405530.178,197530045996.288,199690977126.894,193500557074.845,193887558070.879,196795871441.943,201715768360.705,193041990114.825,203884098954.124,213496831273.905
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"Bahamas, The",BHS,11200515181.763,11494641811.0921,11805566842.8672,11656236259.1608,11759087827.5107,12158436351.9152,12464414614.8719,12644662503.6934,12350845047.4154,11835144398.0941,12017247325.2225,12090933569.0804,12453408054.2508,12096828468.589,12320288444.1932,12443091980.1107,12323400786.2415,12668396688.2535,13001561568.1748,12825095896.3456,10077516213.8323,11629771045.9822,12883694495.3073
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bahrain,BHR,36959988369.1572,37880642500.2661,39149095007.7291,41614095060.0745,44519158637.8921,47532659538.3114,50606596688.6419,54803887801.8727,58226396500.1981,59705280555.8592,62293086037.1284,63494195104.0003,65908897751.0461,69397206737.5295,72387433086.8861,74202817290.9218,77033649779.8554,80849769947.2943,82509283148.6207,84203097859.2666,79225547127.628,82671890844.1512,87616746984.0241
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bangladesh,BGD,365009967807.802,383542574281.815,398244236516.444,417119290521.284,438974393023.351,467665517646.591,498867716635.171,534080790061.383,566199285910.257,594764746496.571,627903778372.382,668493859146.43,712089410611.241,754911659700.223,800667303501.53,853132148522.175,913819518032.847,974042508801.188,1045336699213.33,1127729250889.44,1166613553390.4,1247561124482.2,1336135828193.28
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Barbados,BRB,4940300480.46953,4823439440.12724,4861419278.23847,4967178519.74823,5037295143.95361,5236543217.73715,5554429963.5782,5669916776.51655,5705833491.39107,5419556079.33861,5299366018.54009,5260604624.09112,5244122563.18964,5191136900.81965,5195414681.98675,5151456355.18413,5243766864.27155,5250502273.14038,5188857958.70551,5222719689.0891,4436472511.25397,4425161020.06509,5214293923.41486
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Belarus,BLR,111596538181.325,116869816151.576,122766211009.548,131412871590.57,146459307731.814,160226484985.316,176249125026.036,191406561408.986,210930029663.458,211351879702.312,227731686449.592,240370737483.726,244475915301.019,246917543398.808,250994459910.067,241382449970.427,235284051667.169,241241875602.158,248839058943.738,252438405140.542,250740143565.291,256855349956.288,244890010824.575
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Belgium,BEL,527763227856.97,533566531247.503,542673946924.042,548306659836.302,567887824600.012,581072691818.538,595903646503.417,617814575697.762,620575619604.276,608744712215.446,625243589629.483,637318012338.931,638693368019.654,640644540993.898,651955379070.422,661566273080.508,669462084014.75,679333085916.285,692090747770.309,708997763898.659,675015615243.044,716883823393.989,747232611384.136
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Belize,BLZ,2733723411.44429,2870244677.12019,3025155337.29416,3317586686.75806,3476195214.30393,3553350717.30671,3713658264.99642,3838186447.30401,3773623681.83795,3758932154.71178,3800808004.13945,3791513364.52901,3933231632.99785,4108430592.53654,4274035085.38058,4396964189.90574,4399362806.5794,4319608802.18015,4367581135.65338,4553973639.66916,3920838780.18393,4616637500.26857,5062280489.76259
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Benin,BEN,18315245216.9866,19292022099.3023,20187756640.9639,20882937540.2307,21807985798.8406,22181592483.5838,23056376559.0627,24436611800.8323,25633169334.4503,26227677415.8337,26782147492.6578,27575904170.7536,28902642501.7287,30981156880.988,32950839416.3041,33536755116.7638,34656773215.4406,36622353578.7467,39075045480.191,41757815652.7983,43364987288.175,46467947984.7692,49373702578.7732
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bermuda,BMU,5984891121.72288,6417146024.98044,6322314044.38332,6537949631.62813,6689712913.49849,6801712496.11236,7178790348.47856,7418930915.0353,7280496941.37318,6870845386.65874,6698876489.17275,6448154670.04412,6106060777.93223,6088981604.14762,5863624279.21366,5909098426.9701,5870263459.58317,6082263318.65031,6055939203.91713,6074486531.20472,5658817336.41068,5965474014.7205,6349121642.12384
